px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	3.91778e-32
0.715285	0.590613	7.11124	-1.8491e-17	1.94849e-19	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	74.5294
1.10986	0.538467	7.15444	-0.320033	-0.0384849	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.90073
1.24952	0.543203	7.08459	-0.129098	-0.00527409	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.78019
1.61622	0.546841	7.07881	-0.0485466	0.0394894	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.53073
1.84471	0.550352	5.99509	-0.0681803	-0.356071	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	6.00288
2.15751	0.558134	5.97441	-0.0509113	-0.264602	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.557827
2.3737	0.620771	5.55158	0.0160699	-0.169362	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	5.657
2.65024	0.634635	5.54286	0.0222877	-0.11376	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0608431
2.9139	0.640315	5.476	0.0119091	-0.151248	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.231418
3.14966	0.643374	5.42952	0.0155683	-0.108946	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.0573
3.43505	0.545777	5.46254	-0.118939	-0.515249	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.51254
3.741	0.440549	5.53886	-0.229688	-0.757319	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.42305
4.01848	0.522086	5.51653	-0.104575	-0.326021	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	3.54656
4.29325	0.520078	5.50453	-0.0933832	-0.260924	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.241016
4.55068	0.561839	5.39991	-0.0490859	-0.138791	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.69613
4.73657	0.675425	5.23337	0.0554533	0.0918805	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	11.5017
4.98742	0.676737	5.14307	0.0479453	0.0683875	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	1.75438
5.28878	0.670881	5.21087	0.0348112	0.0373165	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.86094
5.54769	0.678456	5.26267	0.0369041	0.0385601	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.68132
5.84333	0.691658	5.31049	0.0394434	0.039002	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.70038
6.0853	0.621929	5.20134	-0.0122443	-0.0467796	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	4.03353
6.33936	0.731052	5.18808	0.0570668	0.0620896	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.19808
6.58884	0.764023	5.14128	0.0710419	0.0778123	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.383504
6.83598	0.760659	5.1285	0.062289	0.0600098	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.291756
7.07756	0.746553	5.01254	0.0475744	0.0348241	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	2.69151
7.29485	0.826913	4.96699	0.0886733	0.0880061	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	2.48024
7.58987	0.839976	5.13476	0.0862424	0.0789191	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	4.90547
7.84126	0.816691	5.12564	0.0659306	0.0475905	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.68541
8.08969	0.835723	5.04077	0.0690805	0.0479011	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.24316
8.32658	0.850636	5.01968	0.0706497	0.0469756	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.329921
8.59736	0.939321	5.16996	0.108654	0.0925013	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.69605
8.83589	0.995573	5.14606	0.127893	0.110871	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.619652
9.12655	1.03546	5.2152	0.13484	0.112211	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.78615
9.36497	1.06639	5.18568	0.139087	0.110719	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.641118
9.64504	1.14011	5.25043	0.161239	0.131044	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.35211
9.92082	1.26539	5.29117	0.206293	0.178514	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	2.93134
10.1674	1.35566	5.18897	0.23432	0.20409	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.81195
10.3917	1.43457	5.15347	0.254651	0.216998	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.12104
10.6214	1.51812	5.02271	0.277811	0.235227	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	3.67976
10.8451	1.54758	4.98396	0.271913	0.213698	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.23468
11.1121	1.59983	5.05715	0.271672	0.198825	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	2.13362
11.3926	1.64521	5.1024	0.267062	0.180385	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	2.078
11.6229	1.70177	5.04078	0.272816	0.177274	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.770452
11.8521	1.76498	5.01991	0.280295	0.175681	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.301484
12.1094	1.85614	5.1139	0.295594	0.18211	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.48322
12.3528	1.88376	5.0917	0.282402	0.154587	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.701086
12.6099	1.94576	5.16113	0.282767	0.143958	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.894944
